Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2021,3,March,2021-03,2021-03-04 07:30:00,2021-03-28 08:00:00,26263.369018370184,30895.81849956703,17.638443407457103,-1.9601045927066352,22.56634635953585,6,83.33333333333334,51257.274099762944,,,
top7,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-30 08:00:00,30895.81849956703,36069.99293040795,16.74716735830588,-13.454706285409069,46.79552679779618,6,83.33333333333334,59841.41557655582,,,
top7,2021,5,May,2021-05,2021-05-02 17:45:00,2021-05-31 08:00:00,36069.99293040795,40861.88469407959,13.284981155712817,-8.190677898016174,56.02252055255546,8,37.5,67791.33635921305,,,
top7,2021,6,June,2021-06,2021-06-01 08:45:00,2021-06-28 07:00:00,40861.88469407959,41237.82350026194,0.9200231682823468,-9.18835353671026,44.10313482013645,6,33.33333333333333,68415.03235980602,,,
top7,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-30 07:00:00,41237.82350026194,40720.56265529149,-1.254335949537111,-10.056260232489468,42.98157518055679,4,50.0,67556.87801402953,,,
top7,2021,8,August,2021-08,2021-08-01 20:15:00,2021-08-31 07:00:00,40720.56265529149,50426.74866491403,23.836080291393635,-1.6291876762146162,22.4042581447355,8,75.0,83659.78969981246,,,
top7,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 12:00:00,50426.74866491403,54379.38950082994,7.83838129676222,-2.5774112807223637,20.93672743857355,5,80.0,90217.36300855316,,,
top7,2021,10,October,2021-10,2021-10-01 05:00:00,2021-10-30 07:00:00,54379.38950082994,52835.471557262375,-2.839160126179785,-5.90562268478979,26.442103089179913,5,40.0,87655.94761112345,,,
top7,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-28 07:00:00,52835.471557262375,59398.25419729219,12.421167913524078,-11.868968724909445,59.19006996465856,3,33.33333333333333,98543.84005009178,,,
top7,2021,12,December,2021-12,2021-12-01 09:00:00,2021-12-30 10:00:00,59398.25419729219,63386.56190446669,6.7145200832456675,-0.1898514782608829,23.577418971716924,3,33.33333333333333,105160.58598105669,,,
top7,2022,1,January,2022-01,2022-01-02 08:00:00,2022-01-30 09:00:00,63386.56190446669,66920.70583194199,5.575541283974039,-3.3863126961892864,23.612866401602503,6,50.0,111023.85786689952,,,
top7,2022,2,February,2022-02,2022-02-03 08:00:00,2022-02-28 03:30:00,66920.70583194199,74005.10008142234,10.586251536663994,-3.0466205965901993,21.882926256699527,5,40.0,122777.12272639782,,,
top7,2022,3,March,2022-03,2022-03-03 04:00:00,2022-03-31 07:00:00,74005.10008142234,82716.9830828429,11.772003540074284,-2.005557280372272,19.266543766967963,5,60.0,137230.4499601507,,,
top7,2022,4,April,2022-04,2022-04-01 18:15:00,2022-04-28 03:30:00,82716.9830828429,82358.21298399066,-0.43373208920460815,-12.061432214791278,45.806391243461796,5,60.0,136635.23746251367,,,
top7,2022,5,May,2022-05,2022-05-02 03:30:00,2022-05-30 09:00:00,82358.21298399066,68116.09920485243,-17.292888302356314,-18.825753787541476,70.11667994940144,4,0.0,113007.05846646187,,,
top7,2022,6,June,2022-06,2022-06-03 03:30:00,2022-06-27 08:00:00,68116.09920485243,79112.34458122311,16.143386812713032,-5.055939373704243,21.677581081316113,6,33.33333333333333,131250.2250403716,,,
top7,2022,7,July,2022-07,2022-07-01 08:00:00,2022-07-31 02:15:00,79112.34458122311,87634.2987303828,10.771965101363378,-1.6043641896834826,13.402086491327179,6,66.66666666666666,145388.4534771813,,,
top7,2022,8,August,2022-08,2022-08-01 01:00:00,2022-08-30 08:00:00,87634.2987303828,92760.20547798453,5.8492015362297645,-2.836393044546881,20.180937512831314,5,60.0,153892.51713146927,,,
top7,2022,9,September,2022-09,2022-09-03 08:45:00,2022-09-29 11:00:00,92760.20547798453,99891.41511906282,7.687789827902858,-4.038900976798631,30.05021966313205,4,50.0,165723.45040940604,,,
top7,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-31 16:15:00,99891.41511906282,101892.426347744,2.003186386233624,-1.0037440305744827,10.45570941755376,2,50.0,169043.2000068039,,,
top7,2022,11,November,2022-11,2022-11-02 08:00:00,2022-11-30 04:00:00,101892.426347744,107682.1558020754,5.6821980414637485,-1.815643434011871,27.97600269970189,4,25.0,178648.56940681813,,,
top7,2022,12,December,2022-12,2022-12-04 04:00:00,2022-12-28 07:00:00,107682.1558020754,112666.79897508267,4.62903359974447,-0.6989643902943099,12.433339530951548,2,0.0,186918.27171012256,,,
top7,2023,1,January,2023-01,2023-01-01 07:00:00,2023-01-31 13:15:00,112666.79897508267,113237.68696115342,0.5067047180394413,-2.150480214241779,12.158210209830616,3,0.0,187865.39541175554,,,
top7,2023,2,February,2023-02,2023-02-02 02:30:00,2023-02-26 09:00:00,113237.68696115342,117826.16437300981,4.052076243336278,0.0,9.904212748967526,4,50.0,195477.84446868504,,,
top7,2023,3,March,2023-03,2023-03-01 04:00:00,2023-03-30 03:30:00,117826.16437300981,118486.36941164445,0.5603212513517697,-4.679707064186256,22.38143643522211,4,25.0,196573.14837292745,,,
top7,2023,4,April,2023-04,2023-04-03 03:30:00,2023-04-30 23:15:00,118486.36941164445,130486.24425721374,10.127641605659644,0.0,13.71686689765475,6,33.33333333333333,216481.3723330991,,,
top7,2023,5,May,2023-05,2023-05-01 03:30:00,2023-05-29 07:00:00,130486.24425721374,133484.62639926403,2.2978530488929616,-0.3210718309859084,4.66287972253554,3,33.33333333333333,221455.79614754056,,,
