Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top8,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:00:00,21711.027462926722,24366.162577366737,12.229430960712783,-7.902398299858238,53.479990284260545,4,50.0,24366.162577366722,,,
top8,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:45:00,24366.162577366737,28841.466680812246,18.36688107631086,-6.920620707525094,35.39681999376765,5,80.0,28841.46668081223,,,
top8,2021,6,June,2021-06,2021-06-04 08:45:00,2021-06-28 08:45:00,28841.466680812246,28130.00778666167,-2.466791658081302,-6.535426431448233,36.42508612237153,4,25.0,28130.007786661656,,,
top8,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-31 21:00:00,28130.00778666167,30748.706431015467,9.30927095439873,-7.472050596888846,30.213725140655427,7,71.42857142857143,30748.706431015453,,,
top8,2021,8,August,2021-08,2021-08-02 06:45:00,2021-08-31 08:00:00,30748.706431015467,32088.256561305312,4.356443850069321,0.0,22.501278125945248,4,50.0,41045.27100861924,33.48617152628543,True,3.8071516292758427
top8,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 12:30:00,32088.256561305312,33029.12425947428,2.932124705408712,-0.5510161341114705,7.836377525403823,4,25.0,42248.769540264926,,,
top8,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-31 07:00:00,33029.12425947428,32472.556045500107,-1.6850831696348267,-7.429220015201032,29.029777200758062,6,16.666666666666664,41536.84263536411,,,
top8,2021,11,November,2021-11,2021-11-01 23:45:00,2021-11-27 09:00:00,32472.556045500107,27650.893319308736,-14.848423756464758,-16.935373738383575,46.33473515128046,4,25.0,35369.27622580933,,,
top8,2021,12,December,2021-12,2021-12-01 09:00:00,2021-12-31 22:30:00,27650.893319308736,27669.578992243816,0.06757710399913908,-13.130881865002609,58.49174029414294,5,40.0,35393.177758388185,,,
top8,2022,1,January,2022-01,2022-01-02 07:00:00,2022-01-31 08:00:00,27669.578992243816,30025.934280706206,8.51605038559824,-0.051371570219660434,12.32646183255587,3,33.33333333333333,38407.27860935687,,,
top8,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-27 07:00:00,30025.934280706206,30176.818998611918,0.5025146478211839,-6.4712097724896385,30.011333199006607,4,50.0,38600.28081019838,,,
top8,2022,3,March,2022-03,2022-03-03 04:00:00,2022-03-31 07:00:00,30176.818998611918,33780.07185800384,11.940466155686135,-1.1102230246251565e-14,14.590693138636409,4,75.0,43209.334276339934,,,
top8,2022,4,April,2022-04,2022-04-01 08:15:00,2022-04-28 04:00:00,33780.07185800384,32673.967453521742,-3.274428808593599,-10.817810988743803,50.9039275225532,5,20.0,41794.47538679395,,,
top8,2022,5,May,2022-05,2022-05-02 03:30:00,2022-05-30 08:00:00,32673.967453521742,29060.974536028596,-11.057711074213984,-17.730191282649066,75.73537356503009,4,25.0,37172.9630535388,,,
top8,2022,6,June,2022-06,2022-06-03 07:00:00,2022-06-27 03:30:00,29060.974536028596,33716.98359479175,16.02151728597687,-5.028616404594777,31.817975183476875,6,83.33333333333334,43128.63575487131,,,
top8,2022,7,July,2022-07,2022-07-02 07:00:00,2022-07-31 02:15:00,33716.98359479175,34636.27419427333,2.7264912262898067,-3.7097492979470292,29.865368312119813,5,60.0,44304.53422474636,,,
top8,2022,8,August,2022-08,2022-08-01 01:00:00,2022-08-30 08:00:00,34636.27419427333,36110.77637309659,4.2571038979332565,-3.10675381317308,13.660239427405163,7,57.14285714285714,46190.62427818922,,,
top8,2022,9,September,2022-09,2022-09-03 08:45:00,2022-09-28 14:45:00,36110.77637309659,37874.287580144344,4.883614765927913,0.0,12.764395060307008,3,33.33333333333333,48446.39642591315,,,
top8,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-29 08:00:00,37874.287580144344,38082.69092615379,0.5502502075278581,-0.11859592919415407,3.087256378825927,4,50.0,48712.972822786505,,,
top8,2022,11,November,2022-11,2022-11-02 08:00:00,2022-11-30 08:00:00,38082.69092615379,38216.17246147561,0.35050447349074254,-1.4671953969866647,8.92402544090733,5,20.0,48883.7139717007,,,
top8,2022,12,December,2022-12,2022-12-04 04:00:00,2022-12-28 03:30:00,38216.17246147561,39034.17593417106,2.140464154331645,0.0,7.156929687778671,3,0.0,49930.05234657096,,,
top8,2023,1,January,2023-01,2023-01-01 08:00:00,2023-01-31 13:15:00,39034.17593417106,43865.77018439987,12.377856415816302,-2.001899876438795,22.135065690274516,5,60.0,56110.32253437144,,,
top8,2023,2,February,2023-02,2023-02-02 12:00:00,2023-02-27 08:15:00,43865.77018439987,44235.84566878644,0.8436543638259852,-3.3572245336730866,19.92416720430541,4,0.0,56583.699718989505,,,
top8,2023,3,March,2023-03,2023-03-02 03:30:00,2023-03-31 12:00:00,44235.84566878644,42743.27798439299,-3.3741135991136484,-8.789266214582614,42.984492801817595,4,25.0,54674.50141188945,,,
top8,2023,4,April,2023-04,2023-04-02 00:15:00,2023-04-28 08:00:00,42743.27798439299,42385.49209604079,-0.8370576736834279,-4.981923448197689,21.71778735272847,4,25.0,54216.84430227307,,,
top8,2023,5,May,2023-05,2023-05-01 12:30:00,2023-05-29 02:30:00,42385.49209604079,43487.47862529089,2.5999144394811324,0.0,6.256453472737322,4,50.0,55626.43586591887,,,
top8,2023,6,June,2023-06,2023-06-02 12:00:00,2023-06-30 11:00:00,43487.47862529089,45370.316173304054,4.329608447150046,0.0,21.734461909648292,2,50.0,58034.8427320182,,,
top8,2023,7,July,2023-07,2023-07-01 07:00:00,2023-07-31 00:45:00,45370.316173304054,46827.35113982984,3.211427844056125,0.0,8.242169052936147,3,0.0,59898.58983076842,,,
top8,2023,8,August,2023-08,2023-08-01 12:00:00,2023-08-29 12:30:00,46827.35113982984,47556.63795777429,1.5573949843260326,0.0,8.240959643252037,2,0.0,60831.44746447483,,,
top8,2023,9,September,2023-09,2023-09-02 02:30:00,2023-09-30 07:00:00,47556.63795777429,47736.36084852169,0.3779133649165267,-4.782649002012063,17.459245682142512,6,50.0,61061.33763451526,,,
