Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top5,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-30 08:00:00,58751.48933084717,56792.139576965936,59519.66140349386,55765.82401742566,-3.3349788681058867,-6.306886325545946,22.85463703116547,2,0.0,53504.588372040256
top5,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-28 23:30:00,56792.139576965936,49275.612640233405,56792.139576965936,49275.612640233405,-13.235153654575683,-13.235153654575683,41.119970726406905,4,75.0,46423.1738887525
top5,2021,12,December,2021-12,2021-12-01 08:00:00,2021-12-31 23:15:00,49275.612640233405,50884.54020098638,50884.54020098638,49275.612640233405,3.2651599331700476,0.0,8.632309179162919,3,33.33333333333333,47938.9647622739
top5,2022,1,January,2022-01,2022-01-02 03:30:00,2022-01-31 03:30:00,50884.540200986376,52210.83097376381,52210.83097376381,49852.52195185381,2.6064709782947615,-3.305112273373101,21.261482285859028,5,60.0,49188.479966097526
top5,2022,2,February,2022-02,2022-02-02 15:00:00,2022-02-28 15:00:00,52099.38011150021,56576.00623348729,56576.00623348729,52099.38011150021,8.592474828695561,-1.4878295454545665,16.327547844875767,6,16.666666666666664,53414.98772580241
top5,2022,3,March,2022-03,2022-03-03 03:30:00,2022-03-31 03:30:00,56576.00623348729,58104.02619049498,58104.02619049498,56576.00623348729,2.700826832317582,-0.8635665026008099,11.879999319498989,3,66.66666666666666,54857.634046780026
top5,2022,4,April,2022-04,2022-04-01 07:15:00,2022-04-29 07:45:00,60431.54748396344,64299.71330390897,64299.71330390897,60431.54748396344,6.400904793927387,0.0,23.375533183954182,3,0.0,58369.01897431551
top5,2022,5,May,2022-05,2022-05-01 16:00:00,2022-05-30 03:30:00,64809.147573632246,51142.61766271718,65877.50756281977,51142.61766271718,-21.087347114676945,-22.367102893277536,69.73237582410697,4,25.0,46060.54133576995
top5,2022,6,June,2022-06,2022-06-03 04:00:00,2022-06-27 07:00:00,51142.61766271718,55847.91793829398,55847.91793829398,50084.67344529514,9.200350882717823,-7.017958929520452,42.1298017254704,5,60.0,50298.272757140076
top5,2022,7,July,2022-07,2022-07-01 07:00:00,2022-07-30 07:00:00,55847.91793829398,62091.24222337342,62091.24222337342,55847.91793829398,11.179153163735943,-2.965303949094833,18.15404626851605,7,57.14285714285714,55921.19370737443
top5,2022,8,August,2022-08,2022-08-01 20:30:00,2022-08-30 07:00:00,64223.124551525565,64351.83473789994,67117.22620860243,62657.056863281185,0.20041096921579182,-6.645342183031966,26.482112113164213,5,20.0,56033.265913680414
top5,2022,9,September,2022-09,2022-09-02 03:45:00,2022-09-29 11:00:00,65090.21092680873,68706.98670774959,68706.98670774959,65090.21092680873,5.556558704361514,-1.3240241154283128,16.192286327542078,3,66.66666666666666,59146.78722814506
top5,2022,10,October,2022-10,2022-10-01 03:30:00,2022-10-31 14:45:00,68706.98670774959,71259.6887524102,71259.6887524102,68706.98670774959,3.7153456540289342,-0.5623344344736769,10.804450114199712,4,25.0,61344.29481692369
top5,2022,11,November,2022-11,2022-11-01 01:45:00,2022-11-30 07:00:00,68255.96622740723,73184.77469494089,73184.77469494089,68255.96622740723,7.221066142573429,-1.0078015392418482,14.461450621745438,4,25.0,65774.006920349
top5,2022,12,December,2022-12,2022-12-04 07:00:00,2022-12-31 06:15:00,73184.77469494089,77251.62914593081,77251.62914593081,73184.77469494089,5.556967918452926,-1.1607878584487197,15.49171120371399,3,33.33333333333333,69429.04738359379
top5,2023,1,January,2023-01,2023-01-01 08:00:00,2023-01-29 03:30:00,77251.62914593081,86337.2805919571,86337.2805919571,77251.62914593081,11.761113061917694,-2.150480214241768,12.520685627150065,4,75.0,77594.67614419067
top5,2023,2,February,2023-02,2023-02-02 08:00:00,2023-02-27 03:00:00,86337.2805919571,89848.53452289013,89848.53452289013,86337.2805919571,4.0669035518129615,0.0,10.619671189809022,3,0.0,80750.37678431653
top5,2023,3,March,2023-03,2023-03-01 22:15:00,2023-03-31 14:15:00,91270.62420571802,100625.93790165635,100625.93790165635,91270.62420571802,10.25008186078804,-0.25048746029643354,22.35375153431004,5,40.0,89027.35650760375
top5,2023,4,April,2023-04,2023-04-01 22:45:00,2023-04-27 03:30:00,103430.45867502723,105808.57567304719,106493.35356439046,103430.45867502723,2.2992424364005615,-1.075417645337895,10.328864164840015,4,50.0,91074.31126843218
top5,2023,5,May,2023-05,2023-05-01 14:45:00,2023-05-29 07:00:00,105808.57567304719,113738.00268019203,113738.00268019203,105808.57567304719,7.494125080794101,-0.018606955002919978,15.748334919454251,5,40.0,97899.53407136025
top5,2023,6,June,2023-06,2023-06-02 03:30:00,2023-06-30 03:30:00,113738.00268019203,114149.0267831251,114149.0267831251,111659.4532408622,0.36137798558744105,-1.8274889573841824,11.542002719807867,2,0.0,98253.32143548683
top5,2023,7,July,2023-07,2023-07-04 07:00:00,2023-07-29 02:30:00,114149.0267831251,124675.0831510774,124675.0831510774,114149.0267831251,9.221328174747434,-4.32078975473742,35.27544426049742,4,50.0,107313.58264764251
top5,2023,8,August,2023-08,2023-08-01 02:30:00,2023-08-29 12:00:00,124675.0831510774,127363.88938287816,127363.88938287816,124675.0831510774,2.156650843009711,0.0,5.045915923418397,5,40.0,109627.96193247681
top5,2023,9,September,2023-09,2023-09-02 08:00:00,2023-09-30 12:00:00,127363.88938287816,123865.9515214949,127363.88938287816,121382.04465538701,-2.7464125650778715,-4.696656765489216,31.99653499821789,4,25.0,106617.12581112448
top5,2023,10,October,2023-10,2023-10-04 03:00:00,2023-10-31 16:45:00,123865.9515214949,129943.71017492088,129943.71017492088,123865.9515214949,4.906722613252823,-1.0971380722481272,11.717890275445146,4,50.0,111848.53243289914
top5,2023,11,November,2023-11,2023-11-01 07:15:00,2023-11-29 07:00:00,130523.04191266374,148306.32412114876,148306.32412114876,126958.85021207924,13.62463052338625,-2.7306992300787702,27.794716932873364,5,40.0,127087.4817227115
top5,2023,12,December,2023-12,2023-12-03 08:00:00,2023-12-31 03:30:00,148306.32412114876,149234.9679748147,150981.0222389691,136487.85157425865,0.626166051359589,-9.599332717307362,35.22754183620223,4,75.0,127883.26038878693
top5,2024,1,January,2024-01,2024-01-01 14:45:00,2024-01-28 03:30:00,150379.14795200585,165048.021798099,165048.021798099,150379.14795200585,9.754593004327173,-1.2448275298236666,16.328833921508085,4,50.0,140357.75196037703
top5,2024,2,February,2024-02,2024-02-01 08:15:00,2024-02-29 14:00:00,165048.021798099,156174.77330670806,169999.9677351814,155671.03647725846,-5.376161673870583,-8.428784692620606,24.362324317977954,3,33.33333333333333,132811.8922931769
top5,2024,3,March,2024-03,2024-03-01 13:00:00,2024-03-31 00:15:00,160125.92622145318,173917.90762536618,173917.90762536618,158039.72683018786,8.613209446694325,-3.0967718234630515,17.890069712502232,6,66.66666666666666,144251.25874650633
top5,2024,4,April,2024-04,2024-04-01 03:00:00,2024-04-30 17:00:00,173917.90762536618,176037.52855580387,179165.689839018,169573.30705215325,1.218747948028187,-2.498075461309923,12.93584586481504,5,40.0,146009.3180024842
top5,2024,5,May,2024-05,2024-05-02 03:45:00,2024-05-31 08:00:00,177675.22874161263,190503.6125988348,190503.6125988348,177675.22874161263,7.220130767850619,-0.9086648699898503,12.277682307528003,6,33.33333333333333,156551.3816955104
