Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top6,2020,12,December,2020-12,2020-12-02 07:00:00,2020-12-30 09:00:00,26245.139253636065,27709.224361828048,5.578500056878699,-1.9981379233574459,11.447802017647657,5,80.0,27546.1362597751
top6,2021,1,January,2021-01,2021-01-01 00:00:00,2021-01-31 07:00:00,28271.79259157937,35977.1682966722,27.254641459798478,-4.546193263142717,30.954325782081916,6,66.66666666666666,35053.73693340435
top6,2021,2,February,2021-02,2021-02-01 09:00:00,2021-02-28 08:00:00,35977.1682966722,50177.49731775771,39.47039106576658,-7.445106814431989,53.682517555931334,6,83.33333333333334,48889.58398418409
top6,2021,3,March,2021-03,2021-03-04 07:00:00,2021-03-27 17:45:00,50177.49731775771,58524.01951415919,16.633994604285807,-3.1689941079225292,29.01307301388714,6,66.66666666666666,57021.87474617105
top6,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-29 08:00:00,58524.01951415919,62362.72200292721,6.559191457858238,-16.770986773114494,88.46574955415883,9,55.55555555555556,60762.04868363253
top6,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,62362.72200292721,64581.79596646119,3.558334037166988,-10.086434660131705,54.04738089358801,5,40.0,62924.165343622204
top6,2021,6,June,2021-06,2021-06-04 08:00:00,2021-06-28 03:00:00,64581.79596646119,62273.74638978086,-3.5738392563114063,-13.064664430125173,62.46569396777907,5,40.0,60675.35682086554
top6,2021,7,July,2021-07,2021-07-02 17:30:00,2021-07-30 08:00:00,62273.74638978086,68222.8216596186,9.553103217207394,-6.284673796187768,41.414407669023326,4,50.0,66471.7362853717
top6,2021,8,August,2021-08,2021-08-02 07:00:00,2021-08-31 08:00:00,69778.27300743942,82024.42060274721,17.550086964752154,-4.5347778785225445,27.373180422559045,10,60.0,78137.58381043516
top6,2021,9,September,2021-09,2021-09-02 16:30:00,2021-09-30 18:45:00,82830.73317538494,77923.76643630872,-5.924089466510285,-14.340952537683027,47.57944105433943,6,33.33333333333333,73508.64343853552
top6,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-31 15:30:00,77923.76643630872,75513.66951569803,-3.092890694112682,-3.5937133876390748,22.887254479336146,6,16.666666666666664,71235.10144625658
top6,2021,11,November,2021-11,2021-11-01 13:30:00,2021-11-28 21:00:00,75834.78973989205,83867.91908339666,10.592934154703503,-3.425595023401895,20.38563284537546,5,20.0,78780.98883749479
top6,2021,12,December,2021-12,2021-12-01 08:00:00,2021-12-31 22:15:00,83867.91908339666,97363.6938235364,16.091700959838782,-2.220446049250313e-14,15.046170877753621,7,42.857142857142854,91458.18997442842
top6,2022,1,January,2022-01,2022-01-01 00:45:00,2022-01-30 08:45:00,99002.46504221643,103883.38980134748,4.930104272706481,-2.0174597328947774,16.563549394550527,6,33.33333333333333,95967.17410609772
top6,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-28 15:00:00,103883.38980134748,112951.04195108805,8.72868335070729,-4.261314263422767,35.04168592084784,4,50.0,104343.84485444095
top6,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 08:00:00,112951.04195108805,115730.31464478972,2.4605994293573685,-4.572954193797241,19.349649364598065,5,40.0,106911.32890549886
top6,2022,4,April,2022-04,2022-04-01 05:15:00,2022-04-28 07:00:00,116157.15165315745,128124.18591999338,10.302451546478352,-5.087987168770902,37.800388088368834,6,66.66666666666666,117925.81676368398
top6,2022,5,May,2022-05,2022-05-02 08:00:00,2022-05-30 07:00:00,128124.18591999338,95840.97821153003,-25.196810014170524,-30.06155473169723,117.17661143803113,3,66.66666666666666,88212.27275607968
top6,2022,6,June,2022-06,2022-06-03 08:00:00,2022-06-28 02:45:00,95840.97821153003,112889.08023338158,17.78790486072126,-0.9676513800278785,21.20342325526367,3,66.66666666666666,103903.38790941106
top6,2022,7,July,2022-07,2022-07-01 07:00:00,2022-07-31 12:45:00,112889.08023338157,123611.89102281093,9.498536764815091,-1.6043641896834715,15.15743139373184,5,40.0,113772.68940987492
top6,2022,8,August,2022-08,2022-08-01 00:45:00,2022-08-30 07:00:00,125719.97689446673,129432.57569532268,2.953069903896366,-2.83639304454687,16.73566338329445,4,25.0,117132.47645969142
top6,2022,9,September,2022-09,2022-09-01 22:15:00,2022-09-29 14:45:00,130896.1263223224,139362.89637791435,6.468312159783207,-0.7323543743532834,14.03207676787987,3,33.33333333333333,124708.97067758883
top6,2022,10,October,2022-10,2022-10-01 03:30:00,2022-10-29 03:30:00,139362.89637791435,142381.66774812492,2.166122726112474,0.0,7.242823973120418,2,50.0,127410.32003293703
top6,2022,11,November,2022-11,2022-11-01 02:45:00,2022-11-30 07:00:00,143659.25813607086,140576.17566372984,-2.1461077499236314,-9.076782880819312,39.02948079309513,6,33.33333333333333,124675.95728050768
top6,2022,12,December,2022-12,2022-12-01 07:00:00,2022-12-29 07:00:00,139783.19064906993,142063.97561335188,1.6316589667837222,0.0,3.719075546259698,4,25.0,126710.24371689852
top6,2023,1,January,2023-01,2023-01-01 03:00:00,2023-01-31 16:15:00,142063.97561335188,144440.2857422326,1.6727042296410088,-5.295896659842048,23.153605661028486,3,66.66666666666666,128829.7313229395
top6,2023,2,February,2023-02,2023-02-02 12:00:00,2023-02-28 04:30:00,144440.2857422326,141641.75776592782,-1.9374982276752273,-6.440592811696444,25.017951545403104,4,25.0,126333.6575618388
top6,2023,3,March,2023-03,2023-03-02 13:00:00,2023-03-30 14:30:00,141641.75776592782,150425.73040242255,6.201541674603339,-8.188938130104773,32.92096503891821,8,37.5,134168.2919845869
top6,2023,4,April,2023-04,2023-04-03 07:00:00,2023-04-28 08:00:00,150425.73040242255,157218.20408869913,4.51549988695763,0.0,8.923913973407938,3,33.33333333333333,140226.6610574839
top6,2023,5,May,2023-05,2023-05-01 07:00:00,2023-05-30 10:45:00,157218.20408869913,161412.37720288266,2.6677401249395105,-0.21881707317074062,5.679422686085631,3,0.0,143967.54396037734
top6,2023,6,June,2023-06,2023-06-01 01:30:00,2023-06-30 07:00:00,160763.85040882096,151728.2613723123,-5.620410940352105,-6.571468033701377,28.51872738407677,3,0.0,135875.97636907207
top6,2023,7,July,2023-07,2023-07-01 16:00:00,2023-07-28 07:30:00,151728.2613723123,156344.14171985866,3.042202095903468,-1.3350018337463632,11.56614806554459,2,0.0,140009.5981700013
top6,2023,8,August,2023-08,2023-08-01 08:00:00,2023-08-30 23:00:00,156344.14171985866,158751.6543725801,1.5398803090654223,0.0,3.831778723034043,4,0.0,142165.57840302275
top6,2023,9,September,2023-09,2023-09-01 11:45:00,2023-09-30 07:00:00,159395.40361147356,173015.90356814305,8.545102084542844,-1.0108239696882015,13.168945853925617,3,66.66666666666666,154313.77220664185
top6,2023,10,October,2023-10,2023-10-01 08:45:00,2023-10-30 20:45:00,173015.90356814305,177279.83393878484,2.4644730817837246,0.0,6.272456128980819,2,0.0,158116.7935841596
top6,2023,11,November,2023-11,2023-11-01 14:30:00,2023-11-30 02:30:00,177279.83393878487,230591.8640865515,30.07224734098939,-1.4358918467154647,21.052558490975724,8,75.0,205666.0668384297
top6,2023,12,December,2023-12,2023-12-03 14:30:00,2023-12-31 14:30:00,230591.8640865515,257570.00915723562,11.69952165379,-5.661398518481819,35.325283594968845,7,71.42857142857143,229728.01286269
top6,2024,1,January,2024-01,2024-01-01 20:00:00,2024-01-28 14:30:00,254475.8264458407,246222.63733501497,-3.2432114382315413,-5.840063507935078,27.680458281912095,4,0.0,222277.44767270522
top6,2024,2,February,2024-02,2024-02-01 02:30:00,2024-02-29 13:30:00,246222.63733501497,282741.8026943568,14.831765980011502,0.0,14.055398654934281,5,60.0,255245.1185378634
top6,2024,3,March,2024-03,2024-03-01 06:00:00,2024-03-31 05:15:00,292211.7815311093,352268.27462772647,20.552385938013074,-7.766763388168341,57.35401324201137,5,80.0,307704.0803877041
top6,2024,4,April,2024-04,2024-04-01 02:00:00,2024-04-30 14:45:00,352268.27462772647,325348.74528547033,-7.641769435724644,-13.983567563279287,48.070352250226094,6,50.0,284190.0440201589
