Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2021,8,August,2021-08,2021-08-01 18:45:00,2021-08-31 07:00:00,84602.16890387371,100307.37794306983,18.563600960444205,-5.403779142166975,31.739977797178316,5,80.0
top5,2021,9,September,2021-09,2021-09-01 02:30:00,2021-09-30 00:00:00,102492.72676654192,126214.58965692983,23.14492319481518,-2.398267425586409,22.991188932358554,8,50.0
top5,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-31 16:45:00,126214.58965692983,126050.50376319932,-0.1300054884118551,-4.859020809196879,21.11981152808897,6,16.666666666666664
top5,2021,11,November,2021-11,2021-11-01 05:30:00,2021-11-28 23:30:00,129585.76348670009,128493.04233754253,-0.8432416646368068,-9.169525130970236,40.97305482052826,4,75.0
top5,2021,12,December,2021-12,2021-12-01 08:00:00,2021-12-31 23:15:00,128493.04233754253,129274.60855466271,0.6082556712036391,0.0,3.218586479099001,1,0.0
top5,2022,1,January,2022-01,2022-01-02 03:30:00,2022-01-31 03:30:00,129274.60855466271,130915.24320033714,1.2691081907091561,-3.3051122733730787,21.389558264430683,4,50.0
top5,2022,2,February,2022-02,2022-02-02 15:00:00,2022-02-28 15:00:00,130635.78745397182,139460.7195837351,6.75537102179804,-1.4878295454545554,17.662944833724342,2,0.0
top5,2022,3,March,2022-03,2022-03-03 03:30:00,2022-03-31 03:30:00,139460.7195837351,145329.7279970396,4.208359479875345,-0.8635665026007988,13.09911626835531,2,50.0
top5,2022,4,April,2022-04,2022-04-01 07:15:00,2022-04-30 20:00:00,151151.32176023434,172807.87742866206,14.327731584630609,-0.7645487174129828,24.121069502872235,5,20.0
top5,2022,5,May,2022-05,2022-05-01 03:30:00,2022-05-30 03:30:00,170914.51285909518,158588.66954301953,-7.2117008145688,-12.968159222285614,44.36599760987596,7,42.857142857142854
top5,2022,6,June,2022-06,2022-06-03 04:00:00,2022-06-29 00:30:00,158588.66954301953,179949.33012439738,13.469222387027768,-7.017958929520429,38.65684827166124,5,80.0
top5,2022,7,July,2022-07,2022-07-01 07:00:00,2022-07-29 08:00:00,179949.33012439738,196005.17275199818,8.922424227143022,-2.965303949094833,20.269487643452305,5,60.0
top5,2022,8,August,2022-08,2022-08-02 03:30:00,2022-08-30 07:00:00,196005.17275199818,194209.91043759653,-0.9159259876642012,-5.371284587542013,25.927603186199345,4,25.0
top5,2022,9,September,2022-09,2022-09-02 03:45:00,2022-09-29 11:00:00,196438.28471940663,213918.29727398593,8.898475457341636,-2.2135545728528383,21.608272596289712,3,66.66666666666666
top5,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-29 07:45:00,213918.29727398595,222017.65827902075,3.7861936581615296,-1.1102230246251565e-14,10.132172477301415,2,50.0
top5,2022,11,November,2022-11,2022-11-01 03:00:00,2022-11-30 07:00:00,224519.2714520278,240731.95654640274,7.221066142573429,-1.0078015392418593,14.844019464252337,5,40.0
top5,2022,12,December,2022-12,2022-12-04 07:00:00,2022-12-31 06:15:00,240731.95654640274,254109.3541411504,5.556967918452926,-1.1607878584487086,15.491711203713976,2,50.0
