Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2021,4,April,2021-04,2021-04-01 08:00:00,2021-04-30 07:00:00,45648.7444922184,47505.056446571296,4.066512617163731,-8.225456455152514,33.53610167308352,5,60.0
top5,2021,5,May,2021-05,2021-05-02 10:30:00,2021-05-31 07:00:00,48087.77097080783,61261.741010898426,27.39567622730523,-4.18623061645701,38.0599382007833,6,66.66666666666666
top5,2021,6,June,2021-06,2021-06-04 09:00:00,2021-06-30 18:45:00,61261.741010898426,61347.7512906556,0.14039803364693793,-7.768473587458158,29.79229301520349,6,50.0
top5,2021,7,July,2021-07,2021-07-01 06:00:00,2021-07-31 08:15:00,61576.57874555924,70626.66642911898,14.697288917196305,-11.29638644584493,42.63086479993124,3,66.66666666666666
top5,2021,8,August,2021-08,2021-08-01 18:30:00,2021-08-31 07:00:00,70658.19545025434,85015.50109944514,20.31937775611439,-5.403779142166975,31.350405278132538,6,83.33333333333334
top5,2021,9,September,2021-09,2021-09-01 02:30:00,2021-09-28 07:00:00,86867.69312274783,104973.9031126971,20.84343366222976,-4.293827010664842,31.798983869665943,7,57.14285714285714
top5,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-30 07:00:00,104973.9031126971,104921.64482857469,-0.049782167350964635,-4.859020809196879,22.290935590507974,6,33.33333333333333
top5,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-28 23:30:00,104921.64482857469,105048.91069298252,0.12129610111981659,-9.169525130970236,43.32456182302118,5,60.0
top5,2021,12,December,2021-12,2021-12-01 10:00:00,2021-12-31 23:15:00,105048.9106929825,105687.8766498102,0.6082556712036169,0.0,3.0534192360523202,1,0.0
top5,2022,1,January,2022-01,2022-01-02 03:30:00,2022-01-31 03:30:00,105687.8766498102,106664.58667339866,0.9241457530883235,-3.648220934046109,19.691058844427044,5,40.0
top5,2022,2,February,2022-02,2022-02-02 15:00:00,2022-02-28 15:00:00,106436.89713205206,114318.76530914972,7.4052028849722396,-4.920694282105087,30.022387246910963,3,33.33333333333333
top5,2022,3,March,2022-03,2022-03-03 03:30:00,2022-03-31 07:00:00,114318.76530914972,117542.77928699196,2.8201966397411793,-0.8635665026008099,9.413893528817246,3,66.66666666666666
top5,2022,4,April,2022-04,2022-04-01 07:45:00,2022-04-28 08:00:00,121616.6656329005,135081.21637127563,11.07130397656011,0.0,23.989983039016973,3,33.33333333333333
top5,2022,5,May,2022-05,2022-05-02 07:00:00,2022-05-30 03:30:00,135081.21637127563,133909.50873805204,-0.8674097440780404,-11.350250103445369,48.25244576427764,7,42.857142857142854
top5,2022,6,June,2022-06,2022-06-03 04:00:00,2022-06-28 09:00:00,133909.50873805204,148852.69310844212,11.15916600039306,-9.130862841445209,43.92942180088539,8,62.5
top5,2022,7,July,2022-07,2022-07-01 00:00:00,2022-07-29 03:30:00,133861.40888418147,163708.29661114447,22.29685760500766,-2.965303949094855,36.601205790273475,5,60.0
top5,2022,8,August,2022-08,2022-08-02 03:30:00,2022-08-30 12:00:00,163708.29661114447,160617.08835314223,-1.888241660314116,-5.304673387523873,25.762289636371065,4,25.0
top5,2022,9,September,2022-09,2022-09-03 08:00:00,2022-09-28 13:30:00,160617.08835314223,168995.66625338665,5.216492208987611,-1.3240241154283128,16.28804504993444,2,50.0
top5,2022,10,October,2022-10,2022-10-01 08:00:00,2022-10-30 07:00:00,168995.66625338665,176216.939402007,4.2730522673835925,-2.220446049250313e-14,10.923883279541833,3,33.33333333333333
top5,2022,11,November,2022-11,2022-11-01 03:00:00,2022-11-30 07:00:00,176216.939402007,178294.4879925271,1.1789721224135796,0.0,5.402728993202962,2,50.0
top5,2022,12,December,2022-12,2022-12-01 07:00:00,2022-12-31 06:15:00,178294.4879925271,187126.43594200374,4.953573186091309,-1.1607878584487086,15.531038892081789,4,25.0
top5,2023,1,January,2023-01,2023-01-01 08:00:00,2023-01-30 23:30:00,187126.43594200374,214361.06247121998,14.554130950079713,-2.150480214241779,17.39992716803756,4,50.0
top5,2023,2,February,2023-02,2023-02-01 02:00:00,2023-02-27 03:00:00,217497.22517826204,240818.49962580318,10.722561829663292,-0.8989719789842421,17.767979292341643,5,20.0
top5,2023,3,March,2023-03,2023-03-01 22:15:00,2023-03-31 14:15:00,244630.0865990409,259874.47854004943,6.231609591830267,-1.1102230246251565e-14,11.226666513847984,3,33.33333333333333
top5,2023,4,April,2023-04,2023-04-01 22:45:00,2023-04-27 03:30:00,267117.3762335526,277396.26034007367,3.848077669621097,-1.058560587169588,9.840733892799163,5,40.0
top5,2023,5,May,2023-05,2023-05-01 14:45:00,2023-05-29 07:00:00,277396.26034007367,261877.10063594082,-5.594581442845392,-8.258363525665924,35.18843558470031,4,50.0
top5,2023,6,June,2023-06,2023-06-02 03:30:00,2023-06-30 03:30:00,261877.10063594082,272798.96639582945,4.170607408347671,-1.932186421269444,18.046071686250574,3,33.33333333333333
top5,2023,7,July,2023-07,2023-07-04 07:00:00,2023-07-29 02:30:00,272798.96639582945,279275.4860693987,2.3740997845907774,0.0,6.605968545256795,3,0.0
top5,2023,8,August,2023-08,2023-08-01 07:00:00,2023-08-29 12:00:00,279275.4860693987,285670.044684797,2.2896956354448106,0.0,6.599549136775193,3,33.33333333333333
top5,2023,9,September,2023-09,2023-09-02 08:00:00,2023-09-30 12:00:00,285670.044684797,280081.9918972548,-1.9561213685208023,-4.696656765489216,33.63848495900337,3,0.0
top5,2023,10,October,2023-10,2023-10-04 03:00:00,2023-10-31 16:45:00,280081.9918972548,292051.36916486354,4.27352618657455,0.0,7.599369229748543,4,25.0
top5,2023,11,November,2023-11,2023-11-01 07:15:00,2023-11-30 03:30:00,293353.430087864,321761.04317219893,9.68375010165261,-1.0156112857631516,21.706096809773204,4,25.0
top5,2023,12,December,2023-12,2023-12-03 08:00:00,2023-12-31 07:00:00,321761.04317219893,313307.1854254461,-2.627371437948922,-9.599332717307341,29.883687719026447,4,75.0
top5,2024,1,January,2024-01,2024-01-01 13:00:00,2024-01-28 03:30:00,316576.2256582837,328545.15470967116,3.7807415975408265,-4.320315762612969,23.460193094731334,4,50.0
top5,2024,2,February,2024-02,2024-02-01 08:15:00,2024-02-29 03:30:00,328545.15470967116,341040.88535908057,3.8033525895250664,-1.250567613477993,9.701834076074906,3,33.33333333333333
top5,2024,3,March,2024-03,2024-03-01 07:45:00,2024-03-29 14:30:00,350071.17696944374,380571.9124090691,8.712723996208238,-6.124672052926428,35.45795666560549,5,40.0
top5,2024,4,April,2024-04,2024-04-01 03:00:00,2024-04-30 17:00:00,380571.9124090691,385210.1247823261,1.2187479480281649,-2.498075461309923,12.935845864815047,6,50.0
top5,2024,5,May,2024-05,2024-05-02 03:45:00,2024-05-31 08:00:00,388793.7850285642,420588.29752328346,8.1777316714009,-0.9086648699898392,13.65368155855915,6,16.666666666666664
top5,2024,6,June,2024-06,2024-06-04 07:00:00,2024-06-28 04:45:00,420588.29752328346,423096.7800577043,0.5964223325262585,-7.8717492732433225,32.554497475530134,6,66.66666666666666
top5,2024,7,July,2024-07,2024-07-02 03:30:00,2024-07-30 08:30:00,423096.7800577043,428663.42554155143,1.315690817379389,-1.1102230246251565e-14,5.320671357528553,2,50.0
top5,2024,8,August,2024-08,2024-08-01 11:00:00,2024-08-31 07:00:00,430258.47153470316,480405.6956758517,11.655139284597183,-0.11883796253699952,21.91216095328432,4,50.0
top5,2024,9,September,2024-09,2024-09-01 14:45:00,2024-09-30 11:30:00,484123.5042471495,573442.1042840395,18.449548359728475,-3.89367257031642,30.38196010623543,7,57.14285714285714
top5,2024,10,October,2024-10,2024-10-02 03:30:00,2024-10-30 03:30:00,573442.1042840395,600494.8817183367,4.717612681767336,-0.0724383076148527,5.684355574868773,4,50.0
top5,2024,11,November,2024-11,2024-11-01 11:00:00,2024-11-29 14:45:00,575890.104585079,766603.8796946972,33.11634869069766,-1.6621158637825206,27.459657038951168,6,83.33333333333334
top5,2024,12,December,2024-12,2024-12-01 06:45:00,2024-12-30 20:45:00,766603.8796946972,1010719.9293312719,31.843831749689922,-4.411405191255868,32.440715270150804,6,83.33333333333334
top5,2025,1,January,2025-01,2025-01-02 03:30:00,2025-01-30 15:30:00,1010719.9293312719,1182566.012445215,17.00234438116228,-10.826676887562813,63.375178482205705,7,71.42857142857143
top5,2025,2,February,2025-02,2025-02-02 11:00:00,2025-02-28 07:15:00,1184917.0171714332,1285410.3831822078,8.481046736139097,-2.2659633842005644,27.075865747992772,3,33.33333333333333
top5,2025,3,March,2025-03,2025-03-03 12:30:00,2025-03-04 21:30:00,1285410.3831822078,1251524.3101415238,-2.6362065752724373,-2.6362065752724373,0.0,1,0.0
