Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top4,2022,6,June,2022-06,2022-06-02 02:00:00,2022-06-28 02:45:00,183582.9663181172,195227.1548145721,6.342739051442048,-8.754204023813273,46.14746439397016,4,25.0,259481.09847719542,,,
top4,2022,7,July,2022-07,2022-07-01 08:00:00,2022-07-31 12:45:00,195227.1548145721,227488.57239319207,16.52506671485432,-0.8199946103798816,13.920624864175482,7,71.42857142857143,302360.5231129888,,,
top4,2022,8,August,2022-08,2022-08-01 00:45:00,2022-08-30 07:00:00,227488.57239319207,246864.58845866064,8.517357976109242,-2.503894188229394,20.979512068220814,4,50.0,328113.6512449586,,,
top4,2022,9,September,2022-09,2022-09-03 03:30:00,2022-09-30 01:45:00,246864.58845866064,268710.5736930152,8.849379885042863,-2.286275633047885,18.43246679802401,5,40.0,357149.6746983096,,,
top4,2022,10,October,2022-10,2022-10-01 03:30:00,2022-10-31 07:00:00,268710.5736930152,281167.970319319,4.635990484146557,0.0,8.314050948680707,3,33.33333333333333,373707.09963148367,,,
top4,2022,11,November,2022-11,2022-11-01 14:30:00,2022-11-30 04:00:00,281167.970319319,284012.05228302337,1.011524164887767,-11.48318785365079,44.96582753151164,5,40.0,377487.2372501573,,,
top4,2022,12,December,2022-12,2022-12-01 07:00:00,2022-12-29 08:00:00,284012.05228302337,292471.74706030544,2.9786393602944106,-1.7459374516121784,13.964045573585118,3,66.66666666666666,388731.22067897837,,,
top4,2023,1,January,2023-01,2023-01-01 15:00:00,2023-01-31 01:45:00,292471.74706030544,309402.5277864218,5.788860256175576,-4.630389339062768,21.214406418076287,3,66.66666666666666,411234.32781620993,,,
top4,2023,2,February,2023-02,2023-02-02 12:00:00,2023-02-28 22:45:00,309402.5277864218,350373.3797082111,13.241925402132182,0.0,12.186154620005434,7,42.857142857142854,465689.6707335921,,,
top4,2023,3,March,2023-03,2023-03-02 13:00:00,2023-03-31 07:00:00,350373.3797082111,390824.02439979743,11.545010846792469,-2.2129003251011636,23.393674270200563,6,33.33333333333333,519453.59373217745,,,
top4,2023,4,April,2023-04,2023-04-02 08:45:00,2023-04-28 08:00:00,390824.02439979743,468632.1286444115,19.908731139061064,-1.1102230246251565e-14,20.656684604425248,5,100.0,622870.2131005073,,,
top4,2023,5,May,2023-05,2023-05-02 07:00:00,2023-05-29 08:00:00,468632.1286444115,527340.0536374988,12.527507485009348,-1.7839665281424444,13.962073569464858,6,83.33333333333334,700900.325668567,,,
top4,2023,6,June,2023-06,2023-06-02 03:00:00,2023-06-30 14:30:00,527340.0536374988,635419.1465248431,20.495142013551558,0.0,62.6849656767152,4,50.0,844550.8427877851,,,
top4,2023,7,July,2023-07,2023-07-02 22:30:00,2023-07-28 03:30:00,635419.1465248431,694663.4641738919,9.323659504605853,0.0,19.604939711359727,4,50.0,923293.8877125973,,,
top4,2023,8,August,2023-08,2023-08-01 03:00:00,2023-08-29 03:30:00,694663.4641738919,726623.3639568901,4.600774537783625,-3.4365697978480103,24.775631506410516,3,66.66666666666666,965772.5578073909,,,
top4,2023,9,September,2023-09,2023-09-02 12:00:00,2023-09-30 03:30:00,726623.3639568901,730877.4403351535,0.5854582427817112,0.0,2.682906713783026,2,0.0,971426.7528535981,,,
top4,2023,10,October,2023-10,2023-10-01 12:15:00,2023-10-31 00:15:00,730877.4403351535,795688.5988066461,8.867582291467713,0.0,17.60071355142963,2,50.0,1057568.8195642235,,,
top4,2023,11,November,2023-11,2023-11-01 12:00:00,2023-11-30 11:00:00,795688.5988066461,856460.9512328134,7.63770556940393,-2.2112661975682846,14.799688969673033,7,28.57142857142857,1138342.8121963597,,,
top4,2023,12,December,2023-12,2023-12-01 16:30:00,2023-12-31 02:30:00,856460.9512328134,947799.1232651729,10.664604369981468,-0.8526287142111455,11.094926845583858,2,100.0,1259742.5694912227,,,
top4,2024,1,January,2024-01,2024-01-02 15:45:00,2024-01-31 18:30:00,947799.1232651729,964577.4299117445,1.770238675550817,-4.097101081531839,22.96954668306838,7,42.857142857142854,1282043.019668734,,,
