normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
247,ADAUSDT,158,2021-05-31 08:00:00 to 2021-06-02 08:00:00,0.0,246
249,XLMUSDT,163,2021-06-04 08:00:00 to 2021-06-06 08:00:00,-0.4174880037270122,248
251,SFPUSDT,31,2021-06-09 07:00:00 to 2021-06-11 07:00:00,3.1026629082950787,250
253,ZENUSDT,63,2021-06-13 07:00:00 to 2021-06-15 07:00:00,0.0,252
255,XLMUSDT,167,2021-06-16 08:00:00 to 2021-06-18 08:00:00,-0.171334216753421,254
257,SFPUSDT,35,2021-06-21 07:00:00 to 2021-06-23 07:00:00,-11.231862981204925,256
259,XMRUSDT,165,2021-06-24 08:00:00 to 2021-06-26 08:00:00,1.2154673381576322,258
260,ATOMUSDT,164,2021-06-25 12:00:00 to 2021-06-27 12:00:00,0.119953696711691,259
261,COMPUSDT,117,2021-06-28 09:00:00 to 2021-06-30 09:00:00,0.0,260
262,MKRUSDT,103,2021-06-30 07:00:00 to 2021-07-02 07:00:00,1.7910171080724833,261
263,ALGOUSDT,123,2021-07-02 09:00:00 to 2021-07-04 09:00:00,0.0,262
265,XMRUSDT,169,2021-07-06 08:00:00 to 2021-07-08 08:00:00,-4.129251264722407,264
266,GRTUSDT,63,2021-07-08 07:00:00 to 2021-07-10 07:00:00,-3.381514648874036,265
267,SXPUSDT,114,2021-07-10 09:00:00 to 2021-07-12 09:00:00,0.8454790228358979,266
269,YFIUSDT,102,2021-07-15 07:00:00 to 2021-07-17 07:00:00,-5.850182199026822,268
271,SNXUSDT,109,2021-07-19 07:00:00 to 2021-07-21 07:00:00,-1.5944792517123278,270
273,BNBUSDT,172,2021-07-22 08:00:00 to 2021-07-24 08:00:00,0.0,272
275,SFPUSDT,47,2021-07-27 07:00:00 to 2021-07-29 07:00:00,0.0,274
277,SNXUSDT,113,2021-07-31 07:00:00 to 2021-08-02 07:00:00,1.0297992648377658,276
278,GRTUSDT,71,2021-08-01 07:00:00 to 2021-08-03 07:00:00,3.603997404740203,277
279,ATOMUSDT,177,2021-08-03 12:00:00 to 2021-08-05 12:00:00,1.901318732068721,278
281,YFIUSDT,110,2021-08-08 07:00:00 to 2021-08-10 07:00:00,2.280593466078917,280
283,DENTUSDT,43,2021-08-12 04:00:00 to 2021-08-14 04:00:00,6.109565355996565,282
284,CHZUSDT,64,2021-08-13 07:00:00 to 2021-08-15 07:00:00,2.222241810341256,283
285,CHZUSDT,65,2021-08-16 07:00:00 to 2021-08-18 07:00:00,2.097189187589793,284
287,BAKEUSDT,27,2021-08-20 07:00:00 to 2021-08-22 07:00:00,1.2484550029256751,286
289,ZENUSDT,87,2021-08-24 07:00:00 to 2021-08-26 07:00:00,0.2216642600330669,288
290,SXPUSDT,129,2021-08-24 09:00:00 to 2021-08-26 09:00:00,5.009562270535843,289
