Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top3,2023,2,February,2023-02,2023-02-02 09:00:00,2023-02-27 23:45:00,74609.13753402924,80417.75645143194,81218.51168772385,74191.10091651346,7.785398825651058,-7.709066549217747,42.2509032709465,5,40.0
top3,2023,3,March,2023-03,2023-03-01 02:30:00,2023-03-31 07:00:00,81218.51168772383,85246.73676209865,85246.73676209865,81218.51168772383,4.959737614822224,-1.2169939098482518,15.682079452785938,5,20.0
top3,2023,4,April,2023-04,2023-04-03 04:00:00,2023-04-27 08:00:00,85246.73676209865,89435.27895718899,89435.278957189,85246.73676209865,4.913434055287613,-0.586319673887814,8.900391091653802,5,80.0
top3,2023,5,May,2023-05,2023-05-01 15:00:00,2023-05-29 08:00:00,89435.27895718899,94091.03034239885,94091.03034239885,89435.27895718899,5.205721321044332,0.0,9.759183301832246,4,0.0
top3,2023,6,June,2023-06,2023-06-02 07:00:00,2023-06-30 14:45:00,94091.03034239885,95672.43399095585,95672.43399095585,88032.06885566996,1.6807166876611213,-6.571468033701377,30.644680980043283,4,50.0
top3,2023,7,July,2023-07,2023-07-04 08:00:00,2023-07-28 04:00:00,95672.43399095585,97973.46981786024,98586.27608124811,95574.70459963409,2.405118936476436,-1.3704448648954703,12.578758773890469,3,0.0
top3,2023,8,August,2023-08,2023-08-01 07:00:00,2023-08-29 02:45:00,97973.46981786024,106556.27955945888,106556.27955945888,97973.46981786024,8.76034068973437,-1.1102230246251565e-14,11.645202850934679,6,50.0
top3,2023,9,September,2023-09,2023-09-01 01:00:00,2023-09-30 03:30:00,107358.94304859107,111888.77250682292,111888.77250682292,107358.94304859107,4.219331272832694,0.0,8.95203730630525,3,0.0
top3,2023,10,October,2023-10,2023-10-01 08:45:00,2023-10-30 20:45:00,111888.77250682292,119663.22028555584,119663.22028555584,111888.77250682292,6.948371677112508,-0.9695263059352865,8.55408922203449,7,57.14285714285714
top3,2023,11,November,2023-11,2023-11-01 03:30:00,2023-11-30 16:30:00,119663.22028555584,146330.12152858236,146330.12152858236,119663.22028555584,22.284960390828946,-5.957201943498058,39.47930933968734,6,66.66666666666666
top3,2023,12,December,2023-12,2023-12-03 03:30:00,2023-12-31 02:30:00,146330.12152858236,154817.6367345078,158949.63978131636,146330.12152858236,5.800251593632133,-3.1914501111852234,21.101973642008776,5,80.0
top3,2024,1,January,2024-01,2024-01-01 01:45:00,2024-01-28 02:30:00,157047.98011524245,166910.79313543654,179281.69890366954,157047.98011524245,6.280127266174795,-6.900261345069058,35.135629166896024,5,40.0
top3,2024,2,February,2024-02,2024-02-04 07:00:00,2024-02-29 03:30:00,166910.79313543654,185081.38255860523,185081.38255860523,166910.79313543654,10.886407692296164,-2.186014988666407,20.38945976990007,3,66.66666666666666
top3,2024,3,March,2024-03,2024-03-01 07:45:00,2024-03-29 04:30:00,189982.08194071494,253706.11706934226,253706.11706934226,183399.42931483252,33.54212906694685,-5.348194315644128,53.55003564863773,7,85.71428571428571
top3,2024,4,April,2024-04,2024-04-01 14:00:00,2024-04-29 07:00:00,253706.11706934226,270349.107713744,277383.99554160464,253706.11706934226,6.5599485091851095,-2.5361549119388482,15.71289621012294,4,50.0
top3,2024,5,May,2024-05,2024-05-01 12:30:00,2024-05-31 02:30:00,274445.7200458652,300017.10497561895,300017.10497561895,274445.7200458652,9.317465371833912,0.0,25.68565289532066,4,25.0
top3,2024,6,June,2024-06,2024-06-04 12:45:00,2024-06-28 14:30:00,300017.10497561895,315992.0252664539,327298.08185207867,300017.10497561895,5.324669835785922,-7.8717492732433225,41.74280724855557,5,60.0
top3,2024,7,July,2024-07,2024-07-02 02:30:00,2024-07-31 14:00:00,315992.0252664539,325590.9498919791,339509.07303510595,315992.0252664539,3.0377110363564164,-4.099484888195515,20.687078276563483,3,0.0
top3,2024,8,August,2024-08,2024-08-01 09:15:00,2024-08-31 07:00:00,333437.9176544434,355345.06252828287,356636.2600339658,307298.23175133177,6.570082079430084,-7.839446121482007,33.87790278145985,6,50.0
top3,2024,9,September,2024-09,2024-09-01 19:00:00,2024-09-30 19:00:00,353561.8150774307,386245.74871334224,391209.39892514993,353561.8150774307,9.244192172945409,-3.0240570327181304,20.478502399649884,8,62.5
top3,2024,10,October,2024-10,2024-10-01 11:15:00,2024-10-30 15:00:00,387444.02495369624,399875.60825606773,399875.60825606773,371495.99822186923,3.2086140194979684,-5.224299493816709,26.5256448947497,6,33.33333333333333
top3,2024,11,November,2024-11,2024-11-01 13:45:00,2024-11-28 07:00:00,379875.6445322074,463321.9352423914,463321.9352423914,379875.6445322074,21.966738829214183,-3.612718153229899,25.905075551350475,6,66.66666666666666
top3,2024,12,December,2024-12,2024-12-01 07:00:00,2024-12-31 18:45:00,463321.9352423914,577886.47457423,596187.4154181912,463321.9352423914,24.72676785136518,-3.8364837312022337,25.869610767225325,6,66.66666666666666
top3,2025,1,January,2025-01,2025-01-01 04:30:00,2025-01-30 10:00:00,578168.1581322137,707106.7184002761,707106.7184002761,578168.1581322137,22.301221271783888,-2.528522057731819,27.21245355617002,8,37.5
top3,2025,2,February,2025-02,2025-02-03 12:30:00,2025-02-27 11:30:00,707106.7184002761,738307.093717571,738307.093717571,706271.0369011938,4.412399784275989,-0.783636792067377,11.353525428850723,4,50.0
top3,2025,3,March,2025-03,2025-03-03 14:45:00,2025-03-04 14:00:00,738307.093717571,749637.4924363007,749637.4924363007,738307.093717571,1.5346457883369524,0.0,0.0,1,100.0
