normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
247,XLMUSDT,122,2021-02-01 08:00:00 to 2021-02-03 08:00:00,3.538179599837785,246
249,DOGEUSDT,66,2021-02-05 09:00:00 to 2021-02-07 09:00:00,5.6630233169118585,248
250,YFIUSDT,49,2021-02-06 07:00:00 to 2021-02-08 07:00:00,0.8926133733204734,249
251,XTZUSDT,119,2021-02-09 08:00:00 to 2021-02-11 08:00:00,8.36930060933919,250
252,BELUSDT,24,2021-02-10 07:00:00 to 2021-02-12 07:00:00,-2.046582300637074,251
253,ZENUSDT,23,2021-02-13 07:00:00 to 2021-02-15 07:00:00,-2.181814330178404,252
254,KNCUSDT,75,2021-02-14 08:45:00 to 2021-02-16 08:45:00,-4.569200537532179,253
255,BCHUSDT,138,2021-02-17 08:45:00 to 2021-02-19 08:45:00,3.3156981650261153,254
257,XTZUSDT,123,2021-02-21 08:00:00 to 2021-02-23 08:00:00,-2.141868680988264,256
259,SXPUSDT,69,2021-02-25 09:00:00 to 2021-02-27 09:00:00,1.041365859269117,258
261,GRTUSDT,20,2021-03-01 07:00:00 to 2021-03-03 07:00:00,0.1010728057851883,260
263,THETAUSDT,90,2021-03-05 08:00:00 to 2021-03-07 08:00:00,6.480045200135409,262
265,ANKRUSDT,10,2021-03-09 07:00:00 to 2021-03-11 07:00:00,0.0,264
267,RVNUSDT,2,2021-03-13 07:00:00 to 2021-03-15 07:00:00,-1.070250397587497,266
268,SKLUSDT,28,2021-03-14 07:30:00 to 2021-03-16 07:30:00,-1.993352893847714,267
269,XTZUSDT,131,2021-03-17 08:00:00 to 2021-03-19 08:00:00,1.469692848318482,268
271,CRVUSDT,63,2021-03-21 07:00:00 to 2021-03-23 07:00:00,-8.191832149433449,270
272,QTUMUSDT,128,2021-03-22 08:00:00 to 2021-03-24 08:00:00,5.431111076466387,271
273,NEOUSDT,130,2021-03-25 08:45:00 to 2021-03-27 08:45:00,1.4583578366804069,272
274,SANDUSDT,16,2021-03-26 07:00:00 to 2021-03-28 07:00:00,0.0,273
275,SKLUSDT,33,2021-03-29 07:30:00 to 2021-03-31 07:30:00,-0.5458452425492578,274
277,ZILUSDT,92,2021-04-02 09:00:00 to 2021-04-04 09:00:00,1.4180159020092469,276
279,BCHUSDT,154,2021-04-06 08:45:00 to 2021-04-08 08:45:00,3.985565346481017,278
281,XTZUSDT,139,2021-04-10 08:00:00 to 2021-04-12 08:00:00,2.8320074727751123,280
282,BELUSDT,44,2021-04-11 07:00:00 to 2021-04-13 07:00:00,-1.1103890596072596,281
283,STORJUSDT,66,2021-04-14 07:00:00 to 2021-04-16 07:00:00,0.77859071838815,282
285,XRPUSDT,152,2021-04-18 08:15:00 to 2021-04-20 08:15:00,-8.901038360636994,284
287,HBARUSDT,8,2021-04-22 07:00:00 to 2021-04-24 07:00:00,1.7231909080619698,286
288,ONEUSDT,8,2021-04-23 07:00:00 to 2021-04-25 07:00:00,-0.6092082592863699,287
289,MANAUSDT,10,2021-04-26 07:00:00 to 2021-04-28 07:00:00,0.0,288
290,MTLUSDT,5,2021-04-27 07:00:00 to 2021-04-29 07:00:00,0.0,289
291,COTIUSDT,13,2021-04-30 07:00:00 to 2021-05-02 07:00:00,0.0,290
293,XMRUSDT,148,2021-05-04 08:00:00 to 2021-05-06 08:00:00,3.517381056506383,292
295,SUSHIUSDT,78,2021-05-08 07:00:00 to 2021-05-10 07:00:00,5.371564522605294,294
297,COTIUSDT,17,2021-05-12 07:00:00 to 2021-05-14 07:00:00,11.319996060432258,296
299,OGNUSDT,11,2021-05-16 07:00:00 to 2021-05-18 07:00:00,-1.3393297982659895,298
301,ANKRUSDT,34,2021-05-20 07:00:00 to 2021-05-22 07:00:00,25.842414447610533,300
303,NEOUSDT,150,2021-05-24 08:45:00 to 2021-05-26 08:45:00,0.0,302
304,YFIUSDT,85,2021-05-25 07:00:00 to 2021-05-27 07:00:00,0.0,303
305,1000SHIBUSDT,2,2021-05-28 17:30:00 to 2021-05-30 17:30:00,0.0,304
307,SXPUSDT,101,2021-06-01 09:00:00 to 2021-06-03 09:00:00,0.0,306
309,VETUSDT,155,2021-06-05 08:00:00 to 2021-06-07 08:00:00,4.361804655367778,308
311,BTCUSDT,209,2021-06-08 17:45:00 to 2021-06-10 17:45:00,1.029270953908599,310
313,ONEUSDT,25,2021-06-13 07:00:00 to 2021-06-15 07:00:00,0.6732204704057949,312
315,BCHUSDT,178,2021-06-17 08:45:00 to 2021-06-19 08:45:00,0.8152135901627843,314
