normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
431,ENSUSDT,18,2022-02-04 03:30:00 to 2022-02-06 03:30:00,0,0,0.0,0.0,430
433,ETHUSDT,264,2022-02-08 07:45:00 to 2022-02-10 07:45:00,0,1,0.0,-0.812918692536424,432
435,KAVAUSDT,184,2022-02-12 07:00:00 to 2022-02-14 07:00:00,0,0,0.0,0.0,434
436,UNIUSDT,167,2022-02-13 07:00:00 to 2022-02-15 07:00:00,0,1,0.0,-1.8886756095217283,435
437,ENSUSDT,22,2022-02-16 03:30:00 to 2022-02-18 03:30:00,0,0,0.0,0.0,436
438,CHRUSDT,110,2022-02-17 07:00:00 to 2022-02-19 07:00:00,1,1,100.0,1.0327459455078625,437
439,EOSUSDT,254,2022-02-20 08:00:00 to 2022-02-22 08:00:00,0,1,0.0,-0.7421646247040781,438
441,GTCUSDT,82,2022-02-24 03:30:00 to 2022-02-26 03:30:00,1,1,100.0,4.450984709720851,440
443,ENSUSDT,26,2022-02-28 03:30:00 to 2022-03-02 03:30:00,0,1,0.0,-2.824805841907352,442
444,CTSIUSDT,38,2022-03-01 03:30:00 to 2022-03-03 03:30:00,0,0,0.0,0.0,443
445,DASHUSDT,249,2022-03-04 08:00:00 to 2022-03-06 08:00:00,0,0,0.0,0.0,444
447,ZECUSDT,250,2022-03-08 08:00:00 to 2022-03-10 08:00:00,0,0,0.0,0.0,446
449,ENSUSDT,30,2022-03-12 03:30:00 to 2022-03-14 03:30:00,0,0,0.0,0.0,448
451,CRVUSDT,183,2022-03-16 07:00:00 to 2022-03-18 07:00:00,0,1,0.0,-0.9723409979342734,450
453,MTLUSDT,114,2022-03-20 07:00:00 to 2022-03-22 07:00:00,0,1,0.0,-0.8716013994109928,452
455,ETCUSDT,262,2022-03-24 08:00:00 to 2022-03-26 08:00:00,1,1,100.0,1.2692845930240892,454
457,MANAUSDT,122,2022-03-28 07:00:00 to 2022-03-30 07:00:00,0,0,0.0,0.0,456
459,NKNUSDT,115,2022-04-01 07:00:00 to 2022-04-03 07:00:00,1,1,100.0,1.3112252970131744,458
461,NEARUSDT,175,2022-04-05 08:00:00 to 2022-04-07 08:00:00,1,1,100.0,5.870354896906482,460
