Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2023,11,November,2023-11,2023-11-01 07:15:00,2023-11-29 07:00:00,111039.04315209875,121067.03645178735,9.031051614838304,-1.3338263969674413,21.849435308776783,2,0.0
top5,2023,12,December,2023-12,2023-12-03 08:00:00,2023-12-31 07:00:00,121067.03645178735,146421.12631146004,20.94219087436693,-0.912381776433524,16.155142386652972,5,80.0
top5,2024,1,January,2024-01,2024-01-01 15:30:00,2024-01-31 19:15:00,148222.56823011197,172404.5557126481,16.31464612392506,-1.2448275298236666,22.14496422321324,5,40.0
top5,2024,2,February,2024-02,2024-02-01 08:15:00,2024-02-29 12:00:00,172404.5557126481,182936.71584068605,6.1089801742781225,-1.1102230246251565e-14,7.809965669552425,2,50.0
top5,2024,3,March,2024-03,2024-03-01 13:00:00,2024-03-30 10:45:00,185879.15920195266,198148.46089378593,6.60068710473507,-6.154469211976243,25.42077309355629,6,83.33333333333334
top5,2024,4,April,2024-04,2024-04-01 03:00:00,2024-04-30 17:00:00,198148.46089378596,192364.77686647093,-2.9188639675658545,-2.9188639675658545,14.77846124299044,2,0.0
top5,2024,5,May,2024-05,2024-05-02 03:45:00,2024-05-31 15:30:00,194154.3715818808,203835.2100700974,4.986155299693529,-0.9086648699898614,12.635217393847856,5,20.0
top5,2024,6,June,2024-06,2024-06-01 10:00:00,2024-06-28 04:45:00,203835.2100700974,228791.30293138162,12.243268889953796,-2.147419458496469,20.53209743480986,5,40.0
top5,2024,7,July,2024-07,2024-07-02 12:30:00,2024-07-31 18:45:00,228791.30293138162,245853.30319466372,7.45745141737284,0.0,16.38322164010627,3,66.66666666666666
top5,2024,8,August,2024-08,2024-08-01 23:45:00,2024-08-31 13:30:00,241620.76026316924,259250.97749142293,7.296648354657598,-0.11883796253699952,16.858966258719228,4,50.0
top5,2024,9,September,2024-09,2024-09-02 08:45:00,2024-09-29 14:00:00,262421.44671676063,287949.9162601259,9.728042377160918,-2.1561161138632046,18.622317591117355,7,28.57142857142857
top5,2024,10,October,2024-10,2024-10-02 14:00:00,2024-10-30 03:30:00,287949.9162601259,286585.04003882624,-0.4739977837210585,-6.551410689259674,34.822696042897824,6,66.66666666666666
top5,2024,11,November,2024-11,2024-11-01 11:00:00,2024-11-28 17:30:00,274842.4569551814,322476.5726450331,17.331425507384203,-5.186211271519825,31.317605661246013,5,40.0
top5,2024,12,December,2024-12,2024-12-01 07:00:00,2024-12-30 20:45:00,322476.5726450331,438712.80320066935,36.044860438151424,-4.451672257464412,25.54331114997212,8,37.5
top5,2025,1,January,2025-01,2025-01-02 11:30:00,2025-01-31 11:15:00,438712.80320066935,475009.34301949426,8.273417040492138,-18.823739619495395,90.27950597192014,9,66.66666666666666
top5,2025,2,February,2025-02,2025-02-02 06:45:00,2025-02-27 11:30:00,437784.905299155,451778.01543451904,3.196343676080393,-2.2659633842005755,22.77416749899637,5,40.0
top5,2025,3,March,2025-03,2025-03-03 13:00:00,2025-03-05 16:00:00,451778.01543451904,474784.74916010717,5.092486340544999,0.0,10.567661059690355,1,100.0
